model,mae,rmse,bias,corr
FCN_ERA_WS,38.69469537979942,39.51652733555883,-38.69469537979942,0.3760318129942729
HxCNN_ERA_WS,10.1359689009817,12.544166818732204,9.881915122584289,0.44502446750221175
HxGNN_ERA_WS,12.623556167200988,13.753411370859222,12.623556167200988,0.7804721019101651
FCN_MERRA_WS,52.38723369759774,53.16757112437284,-52.38723369759774,0.15503565301720323
HxCNN_MERRA_WS,8.498853864167861,11.346701409894115,7.902309257105773,0.5840891669088998
HxGNN_MERRA_WS,25.627264625147767,29.390339855371817,25.627264625147767,-0.46142442529490263
FCN_ERA_MSLP,39.887264359139316,42.05409286053719,39.887264359139316,0.04864441359615386
HxCNN_ERA_MSLP,15.577020263671875,19.045824806541653,-15.039251708984375,0.3791144005502193
HxGNN_ERA_MSLP,13.29564208984375,16.38420801036923,-12.465386962890625,0.573497592630061
FCN_MERRA_MSLP,54.779375646091395,56.287256807667916,54.779375646091395,-0.15067637973296655
HxCNN_MERRA_MSLP,10.567709350585938,14.067309076664792,-9.030459594726562,0.5732397726585123
HxGNN_MERRA_MSLP,29.97307434082031,33.20661010303207,-29.97307434082031,0.5439039666087933
